text,date,likes,comments,sentiment
@aminemisme @tjerealjoker Nak salah tommy 100% dia dah tak jd AG sejak 2020? Jadi ape team AGC buat bila rosmah failkan 1st representasi utk batal semua kes pada 3/5/23?  Kemudian 2nd representasi utk batalkan lagi pada 18/8/23. Pastu 4/7/24 rosmah up 3rd representasi dgn bukti lain utk lawan pendakwaan.,2024-12-19 10:42:46+00:00,0,0,Negative
AGC to appeal Rosmah’s acquittal on money laundering and tax evasion charges https://t.co/yqr3T8gFO0 caught out. Why backtrack after ?,2024-12-19 10:39:20+00:00,0,0,Negative
@amer7211 @anwaribrahim Terbukti si ameer ni kaki fitnah. Datin Seri Rosmah sesungguhnya xpenah melakukan pa2 kesalahan seperti tomahan PH1.0. Hidup UMNO,2024-12-19 10:32:19+00:00,0,0,Negative
"If you liked this, consider subscribing to our free newsletter for more fast &amp; concise news.

19k+ Malaysians stay up to date and grow smarter daily. Subscribe for free:

https://t.co/c0ZfEkLlJ2",2024-12-19 10:31:49+00:00,0,0,Positive
"Sources:

https://t.co/3pmjojT4qL

https://t.co/fpR6mWjmRD",2024-12-19 10:31:48+00:00,1,1,Positive
"Public sentiment remains divided, with many seeing the acquittal as a reflection of Malaysia’s flawed justice system, while others argue on the importance of procedural fairness, no matter who is on trial.

One thing is certain, this is not the last we’ll hear of Rosmah Mansor.",2024-12-19 10:31:48+00:00,0,1,Negative
"Meanwhile, Rosmah’s legal troubles are far from over.

She is still appealing her conviction and RM970 million fine in the RM1.25 billion solar hybrid project graft case for rural Sarawak schools.",2024-12-19 10:31:47+00:00,0,1,Positive
"Rosmah, who is famously embroiled in multiple legal battles, said this was not just a victory for her but also for her husband, former PM Datuk Seri Najib Razak, who remains imprisoned. https://t.co/ynmjWemVhV",2024-12-19 10:31:44+00:00,0,1,Negative
"Datin Seri Rosmah Mansor’s recent acquittal on 17 charges of money laundering and tax evasion has sparked heated reactions across Malaysia.

The High Court ruled that the charges were flawed, granting her a full discharge and acquittal, a decision she called “justice.”",2024-12-19 10:31:44+00:00,0,1,Negative
Rosmah’s Belated Birthday Gift: Acquittal for 17 Money Laundering and Tax Evasion Cases https://t.co/WsV8s8OYho,2024-12-19 10:31:43+00:00,1,1,Negative
Praying for 3 ghosts to come meet Rosmah this December https://t.co/35VtndvxNv,2024-12-19 10:31:07+00:00,0,1,Positive
"New judge to preside over 1MDB's US$346mil suit against Rosmah

https://t.co/Js77jNZc9e",2024-12-19 10:26:05+00:00,0,0,Positive
Rosmah walk free on birthday;couple who stole Milo goes to jail:Crisis in Malaysian justice?Life is confusing🥤Very difficult to understand✔️Big shots don’t care till GE16 ⁦@sitikasim⁩ ⁦@Khairykj⁩ ⁦@edmundbon⁩ ⁦@TerenceFnandez⁩ 😩📢 https://t.co/6mdUOKU3x1,2024-12-19 10:25:18+00:00,0,0,Negative
@anwaribrahim Shame on u.. knp lepaskan rosmah????,2024-12-19 10:20:46+00:00,5,7,Negative
"Up satu video bal, macam explain kes zahid 47 kes tu. Sampai sekarang tak faham macam mana undi anwar dapat Zahid sekali rebate dapat rosmah bebas + Year End Sale Musa Aman TYT

Ingat undi KJ yang dapat Zahid, tapi PH memang terbaik 👍 https://t.co/FrOn71PK0p",2024-12-19 10:11:57+00:00,0,0,Negative
Ini komen @DrZahidHamidi atas pembebasan Rosmah Mansor atas 12 pertuduhan pengubahan wang haram. Zahid berharap jangan ada yang mempertukaikan keputusan mahkamah https://t.co/KU5DiVBYNM,2024-12-19 10:11:07+00:00,2,0,Negative
"📢Join now and capitalize from this bull move of the currency👉https://t.co/7luuCDm0R9 

📢#EURUSD rebounds from three-week low of 1.0340

#xauusd #FOMC #forextrading #investing #stockmarketcrash #FayeYokoxYuniverse #Rosmah #DPRinKL #niftycrash #Powell #FOMC #forextradng #XAUUSD https://t.co/7RXtqt6x0k",2024-12-19 10:08:45+00:00,0,0,Positive
"1MDB’s USD346m suit against Rosmah is under jurisdiction of new judge

https://t.co/FZIpF6xNgd

#TMRNews",2024-12-19 10:01:46+00:00,1,0,Neutral
Rosmah is free tho https://t.co/RSmzj90qAg,2024-12-19 09:57:08+00:00,1,0,Positive
"@kuasasiswa @MCMC_RASMI Buat gmbr rosmah pulak, baru lepas kes tu…",2024-12-19 09:56:00+00:00,0,0,Negative
"Presiden Umno, Ahmad Zahid Hamidi, meminta semua pihak menghormati keputusan Mahkamah Tinggi Kuala Lumpur yang melepaskan dan membebaskan Rosmah Mansor hari ini.

Berita penuh: https://t.co/9G1xHimGBo https://t.co/TRbSdM8lH9",2024-12-19 09:54:18+00:00,0,0,Negative
@zafranhaikal Rosmah pun bebas bro mmg bosan,2024-12-19 09:52:26+00:00,0,0,Negative
"Wicked Malaysian version 😳
#Rosmah https://t.co/qkvPXnMSVh",2024-12-19 09:50:50+00:00,0,0,Negative
"@redzuanNewsMPB Undilah PasPN, insyaAllah rosmah akan dipenjarakan. Madani xleh pakai.",2024-12-19 09:49:58+00:00,0,0,Negative
@karmenlunarxisc Hakim buat keputusan. Pendakwaraya akan rayu kes rosmah. Jadi apa isunya?,2024-12-19 09:48:45+00:00,0,0,Negative
"@Iqtodabal tk kta la rosmah ni tk salah.@ salah,,ntah mn kita tau.,cuma mgkin..mgkin laa kan...pndakwa tk sempat nk kumpul bukti lagi...tu la tak hati2 nk main sumbat ja cpat sgt ambush sblm ni...zaman bukan zaman angkat tilam..zaman ni zaman teliti..tk bole main belasah ko salah..tangkap",2024-12-19 09:45:42+00:00,0,0,Negative
SELEPAS Mahkamah Bebaskan Rosmah Mansor Atass 17 Pertuduhan! Begini Reaksi Zahid Hamidi! Lihat di sini: https://t.co/W0mXWLJoH7,2024-12-19 09:45:37+00:00,0,0,Negative
